                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6082,                 2.6059,                 2.2375,                 1.1834,                 0.6718,                0.40609,                0.39652,                0.21964,                0.66807,                0.38888,                0.37932,                0.18956,                 1.5644,                 2.5871,                 1.5967,                 1.2477,             0.00041512,             0.00041512,             0.00041512
                      2,                  1.555,                 2.5251,                 1.3992,                  1.181,                0.55871,                0.51157,                0.49275,                0.26745,                0.54989,                0.48549,                0.46465,                0.22665,                  1.527,                 2.5675,                 1.4538,                 1.2386,             0.00082356,             0.00082356,             0.00082356
                      3,                  1.539,                 2.5086,                 1.3633,                 1.1786,                0.54485,                0.50543,                0.48914,                0.26671,                0.52576,                0.48326,                0.46198,                0.22561,                 1.5198,                 2.5816,                 1.4394,                 1.2353,              0.0012237,              0.0012237,              0.0012237
                      4,                 1.5304,                 2.5033,                  1.335,                 1.1736,                0.54923,                 0.5127,                0.49487,                0.26768,                0.53237,                0.48611,                0.46513,                0.22478,                 1.5264,                 2.5607,                 1.4397,                  1.245,              0.0012129,              0.0012129,              0.0012129
                      5,                  1.529,                 2.4967,                 1.3307,                 1.1737,                0.54694,                0.50597,                0.49078,                0.26802,                0.53071,                0.47745,                0.45884,                0.22332,                 1.5115,                 2.5723,                 1.4188,                 1.2336,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.5195,                 2.4915,                 1.3157,                 1.1729,                0.53341,                0.51001,                0.48954,                0.26205,                0.51573,                0.48149,                0.45845,                0.21992,                 1.5413,                 2.5771,                 1.4182,                 1.2416,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.5211,                 2.4765,                 1.3105,                 1.1682,                0.53996,                0.50697,                0.49185,                0.26498,                0.52141,                0.47737,                 0.4584,                0.22106,                 1.5416,                 2.5594,                 1.4026,                 1.2449,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.5159,                 2.4775,                 1.3099,                 1.1676,                 0.5453,                0.51579,                 0.4976,                0.27258,                0.52704,                0.48915,                0.46574,                0.22896,                 1.5043,                 2.5684,                 1.3973,                  1.233,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.5154,                 2.4748,                 1.2969,                 1.1675,                0.53376,                0.51049,                0.49218,                0.26848,                0.51618,                0.48304,                0.46096,                0.22714,                 1.5095,                 2.5453,                 1.4039,                 1.2383,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.5142,                 2.4739,                  1.302,                 1.1692,                0.54945,                0.51359,                0.49872,                0.27404,                0.53307,                0.48695,                0.46857,                0.23131,                 1.5148,                 2.5431,                 1.3955,                 1.2402,               0.001151,               0.001151,               0.001151
                     11,                  1.517,                 2.4798,                  1.308,                 1.1707,                0.54218,                0.51378,                0.49805,                0.26991,                0.52062,                0.48779,                0.46577,                0.22804,                 1.5259,                 2.5727,                 1.4009,                  1.244,              0.0011386,              0.0011386,              0.0011386
                     12,                  1.514,                 2.4721,                   1.29,                 1.1638,                0.53894,                0.50933,                0.49364,                0.26643,                0.51434,                0.48361,                0.45933,                0.22254,                 1.5251,                 2.5544,                 1.4023,                 1.2375,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.5108,                   2.47,                 1.2965,                 1.1629,                0.53695,                0.50674,                0.48975,                0.26727,                0.51693,                0.48348,                0.46023,                0.22626,                 1.5204,                 2.5457,                  1.406,                 1.2413,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.5089,                 2.4638,                 1.2887,                 1.1645,                0.54102,                0.50499,                0.49048,                0.26418,                0.52204,                0.47875,                0.45816,                0.22034,                 1.5293,                 2.5918,                 1.3989,                 1.2438,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.5085,                 2.4655,                 1.2822,                 1.1626,                0.53983,                0.50339,                0.48905,                0.26387,                0.52313,                0.48079,                0.46024,                0.22458,                 1.5511,                 2.5447,                 1.3997,                 1.2479,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.5074,                 2.4636,                 1.2795,                 1.1607,                0.52415,                0.51541,                0.49014,                0.26342,                0.50103,                0.48855,                0.45579,                 0.2212,                 1.5443,                 2.5528,                 1.3959,                  1.246,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.5057,                 2.4615,                 1.2819,                 1.1621,                0.52579,                0.51527,                0.48815,                0.26343,                0.50228,                0.49262,                0.45728,                0.22416,                 1.5346,                 2.5526,                 1.3961,                 1.2439,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.5013,                 2.4508,                 1.2735,                 1.1589,                0.53023,                 0.5137,                0.48942,                0.26331,                0.50659,                0.48816,                0.45692,                0.22094,                 1.5382,                 2.5576,                 1.3923,                 1.2457,               0.001052,               0.001052,               0.001052
                     19,                 1.5029,                 2.4607,                 1.2731,                 1.1575,                0.53041,                0.51111,                0.48925,                0.26148,                0.50956,                 0.4849,                0.45792,                0.21917,                 1.5388,                  2.551,                 1.3957,                  1.245,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.4964,                 2.4522,                 1.2771,                 1.1566,                0.53882,                0.50882,                0.48644,                0.26494,                 0.5167,                0.48378,                0.45713,                0.22293,                 1.5254,                 2.5461,                 1.3941,                 1.2414,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.4978,                 2.4525,                 1.2682,                  1.155,                0.52807,                0.51094,                 0.4904,                 0.2699,                0.50754,                 0.4873,                0.45844,                0.22538,                 1.5044,                  2.536,                 1.3893,                 1.2323,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.5045,                 2.4544,                 1.2732,                 1.1568,                0.52896,                0.50889,                 0.4833,                0.26301,                0.50696,                0.48338,                0.45093,                0.21989,                 1.5241,                 2.5433,                 1.3915,                 1.2407,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.4962,                 2.4487,                 1.2659,                  1.155,                0.53625,                0.51434,                0.49157,                 0.2675,                0.51267,                0.49112,                0.46013,                0.22398,                 1.5134,                 2.5451,                  1.384,                 1.2354,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.5017,                 2.4544,                 1.2682,                 1.1557,                0.52712,                0.51208,                0.48274,                0.26106,                 0.5056,                0.48623,                0.45225,                0.21889,                 1.5345,                 2.5482,                  1.392,                 1.2432,             0.00097775,             0.00097775,             0.00097775
                     25,                 1.4959,                 2.4496,                 1.2594,                 1.1532,                0.52501,                0.50988,                 0.4843,                0.26187,                0.50827,                0.48289,                  0.456,                0.22131,                 1.5349,                 2.5521,                 1.4093,                 1.2494,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.4956,                 2.4505,                 1.2691,                 1.1541,                0.52572,                0.51106,                0.48648,                0.26548,                0.50249,                0.48736,                0.45551,                0.22304,                 1.5194,                 2.5486,                 1.3939,                 1.2424,               0.000953,               0.000953,               0.000953
                     27,                 1.4947,                 2.4418,                 1.2625,                 1.1531,                 0.5181,                0.50952,                 0.4783,                0.25698,                0.49714,                0.48603,                0.44669,                0.21643,                  1.547,                 2.5625,                 1.3944,                 1.2451,             0.00094062,             0.00094062,             0.00094062
                     28,                 1.4945,                 2.4387,                 1.2614,                 1.1529,                0.52748,                0.50852,                0.48741,                0.26485,                0.50953,                0.48363,                0.45597,                0.22141,                 1.5209,                  2.548,                 1.3902,                 1.2386,             0.00092825,             0.00092825,             0.00092825
                     29,                 1.4931,                  2.445,                 1.2651,                 1.1538,                0.52659,                0.50767,                0.48178,                0.26395,                0.50717,                0.48002,                0.44909,                0.22047,                 1.5163,                 2.5438,                 1.3877,                 1.2377,             0.00091588,             0.00091588,             0.00091588
                     30,                 1.4868,                 2.4355,                 1.2535,                 1.1504,                0.53086,                0.51067,                0.48612,                0.26712,                0.50957,                0.48525,                0.45487,                0.22534,                 1.4983,                 2.5299,                 1.3905,                  1.234,              0.0009035,              0.0009035,              0.0009035
                     31,                 1.4896,                 2.4394,                 1.2571,                 1.1513,                0.52407,                0.51066,                0.48171,                0.25904,                0.50362,                0.48808,                0.45196,                  0.219,                 1.5407,                 2.5485,                 1.3921,                 1.2471,             0.00089112,             0.00089112,             0.00089112
                     32,                 1.4881,                 2.4347,                 1.2586,                 1.1469,                0.53375,                0.50406,                0.48419,                0.26111,                0.51359,                0.48284,                0.45392,                0.21944,                  1.547,                 2.5605,                 1.3919,                 1.2465,             0.00087875,             0.00087875,             0.00087875
                     33,                 1.4891,                 2.4342,                 1.2548,                 1.1504,                0.52625,                0.50728,                 0.4835,                0.26388,                 0.5071,                0.48505,                0.45471,                0.22401,                 1.5238,                 2.5353,                 1.3878,                 1.2449,             0.00086637,             0.00086637,             0.00086637
                     34,                 1.4888,                 2.4384,                  1.258,                 1.1494,                0.52472,                0.51082,                 0.4846,                0.26393,                0.50239,                0.48477,                0.45159,                0.22066,                  1.524,                  2.558,                 1.3815,                 1.2434,               0.000854,               0.000854,               0.000854
                     35,                 1.4923,                 2.4374,                 1.2532,                 1.1484,                0.52434,                0.50939,                0.48086,                0.26189,                0.50767,                0.48392,                0.45162,                0.22058,                 1.5301,                 2.5468,                 1.3883,                  1.241,             0.00084162,             0.00084162,             0.00084162
                     36,                  1.489,                 2.4368,                 1.2463,                 1.1489,                0.54211,                0.50733,                0.48855,                 0.2645,                0.52061,                0.48158,                0.45645,                0.22125,                 1.5459,                 2.5692,                 1.3885,                  1.246,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.4898,                 2.4419,                  1.252,                 1.1485,                0.53845,                0.51249,                0.48948,                0.26669,                0.51647,                0.48819,                0.45878,                0.22463,                 1.5149,                 2.5295,                 1.3866,                 1.2409,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.4921,                 2.4501,                 1.2579,                 1.1521,                 0.5324,                0.51587,                0.48732,                0.26515,                0.51575,                0.48775,                0.45794,                0.22364,                 1.5302,                 2.5483,                 1.3817,                 1.2441,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.4851,                 2.4356,                 1.2507,                 1.1476,                  0.539,                0.50649,                0.48702,                0.26657,                 0.5176,                0.48226,                0.45641,                0.22263,                   1.52,                 2.5447,                 1.3863,                  1.239,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.4878,                 2.4323,                  1.247,                 1.1469,                0.52365,                0.51001,                0.48059,                0.26269,                0.50649,                0.48475,                0.45089,                0.22161,                 1.5211,                 2.5414,                 1.3844,                 1.2392,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.4872,                 2.4352,                 1.2489,                 1.1451,                0.52644,                0.50712,                0.48134,                0.26184,                0.50558,                0.48196,                0.45044,                0.21868,                 1.5165,                 2.5503,                 1.4002,                 1.2388,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.4876,                 2.4371,                 1.2502,                  1.147,                 0.5235,                0.50527,                0.47715,                0.25929,                0.50243,                0.47839,                0.44504,                 0.2172,                 1.5317,                 2.5465,                 1.3858,                 1.2415,               0.000755,               0.000755,               0.000755
                     43,                 1.4802,                 2.4208,                 1.2462,                 1.1452,                0.52953,                0.51658,                0.48663,                0.26491,                0.50759,                0.48957,                0.45536,                0.22297,                 1.5292,                 2.5432,                 1.3906,                 1.2446,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.4836,                 2.4353,                 1.2493,                 1.1479,                0.51978,                 0.5091,                 0.4774,                0.25952,                0.49975,                0.48611,                0.44838,                0.21861,                 1.5273,                 2.5505,                 1.3885,                  1.241,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.4865,                 2.4311,                  1.251,                 1.1476,                0.52388,                0.50673,                0.47903,                 0.2586,                0.50474,                0.48235,                0.45064,                0.21817,                 1.5402,                 2.5428,                 1.3918,                 1.2465,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.4827,                 2.4302,                 1.2426,                 1.1457,                 0.5289,                0.50894,                0.48185,                0.26085,                0.50654,                0.48559,                0.45159,                 0.2195,                 1.5293,                 2.5447,                 1.3861,                 1.2418,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.4771,                  2.424,                 1.2369,                 1.1435,                0.51973,                0.51344,                0.48139,                0.26006,                0.50043,                0.48583,                0.44999,                0.21835,                 1.5329,                 2.5428,                 1.3906,                 1.2447,             0.00069313,             0.00069313,             0.00069313
                     48,                  1.485,                 2.4356,                 1.2466,                 1.1477,                0.53132,                0.51581,                0.49021,                0.26718,                0.50864,                0.49164,                0.45997,                0.22508,                 1.5213,                 2.5307,                 1.3836,                 1.2429,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.4826,                 2.4348,                 1.2578,                 1.1497,                0.53077,                0.51161,                0.48516,                0.26357,                0.51122,                0.48507,                0.45513,                0.22114,                 1.5329,                 2.5396,                 1.3867,                 1.2436,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.4816,                  2.427,                 1.2347,                 1.1414,                0.52935,                0.51202,                0.48704,                 0.2637,                0.50891,                0.48861,                0.45706,                0.22146,                 1.5292,                 2.5389,                 1.3906,                 1.2418,               0.000656,               0.000656,               0.000656
                     51,                 1.4771,                 2.4228,                 1.2356,                 1.1437,                0.53303,                0.51033,                0.48531,                0.26413,                0.50949,                0.48273,                0.45272,                0.22076,                 1.5319,                 2.5443,                 1.3859,                 1.2452,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.4826,                 2.4311,                 1.2374,                 1.1456,                 0.5151,                 0.5099,                 0.4768,                0.25851,                0.49648,                0.48511,                0.44757,                0.21679,                 1.5258,                 2.5541,                 1.3943,                 1.2445,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.4834,                 2.4309,                 1.2487,                 1.1441,                0.52449,                0.50693,                0.47949,                0.25827,                0.50537,                0.48161,                0.44883,                0.21827,                 1.5454,                 2.5411,                 1.3923,                 1.2491,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.4836,                 2.4294,                  1.242,                 1.1439,                0.52654,                0.51238,                0.48221,                0.26139,                0.50435,                0.48674,                0.45077,                0.21905,                 1.5339,                 2.5511,                 1.3914,                 1.2443,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.4723,                 2.4181,                 1.2333,                 1.1404,                0.51591,                 0.5108,                0.47783,                0.25907,                0.50145,                0.48265,                0.44799,                0.21844,                 1.5336,                 2.5484,                 1.3915,                 1.2449,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.4833,                 2.4309,                 1.2366,                  1.142,                0.52691,                0.51108,                0.48282,                0.26225,                0.50883,                0.48501,                0.45217,                0.22075,                 1.5294,                  2.549,                 1.3867,                 1.2407,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.4776,                 2.4227,                 1.2295,                 1.1408,                0.52431,                0.51153,                0.48197,                0.25947,                0.50611,                0.48636,                0.45102,                0.21817,                 1.5402,                 2.5485,                 1.3893,                 1.2474,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.4776,                 2.4233,                 1.2356,                 1.1421,                0.51844,                0.51079,                0.47978,                0.25914,                 0.4976,                0.48798,                0.44867,                 0.2173,                 1.5303,                 2.5519,                 1.3862,                 1.2407,               0.000557,               0.000557,               0.000557
                     59,                 1.4789,                 2.4205,                 1.2411,                 1.1416,                0.52192,                0.50761,                0.47757,                0.25724,                0.50092,                0.48329,                0.44624,                0.21602,                  1.538,                  2.548,                 1.3938,                 1.2452,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.4803,                 2.4219,                 1.2391,                 1.1439,                0.52288,                0.50871,                0.48031,                0.25811,                0.50542,                0.48457,                0.45087,                0.21793,                  1.543,                  2.549,                 1.3861,                 1.2454,             0.00053225,             0.00053225,             0.00053225
